## Li & Draine 2001, ApJ, 554, 778
##
## To convert from SIGMA_EXT to A(lambda)/A(V) (normalized to 1.0 at
## 5500 A, and assuming R(V) = A(V)/E(B-V) = 3.1 for the diffuse ISM)
## multiply by 2.146D21.
## 
# 1 wave [micron]
# 2 albedo
# 3 g
# 4 sigma_ext
# 5 kappa
0.0100  0.47    1.00    6.55E-22   1.84E4
0.0488  0.30    0.86    1.40E-21   5.21E4
0.0912  0.24    0.73    2.31E-21   9.25E4
0.100   0.27    0.72    2.10E-21   8.13E4
0.1215  0.32    0.73    1.59E-21   5.71E4
0.150   0.38    0.70    1.27E-21   4.20E4
0.220   0.42    0.56    1.52E-21   4.65E4
0.300   0.58    0.57    9.21E-22   2.07E4
0.365   0.62    0.58    7.62E-22   1.55E4
0.440   0.65    0.57    6.20E-22   1.16E4
0.550   0.67    0.54    4.66E-22   8250
0.700   0.66    0.48    3.31E-22   5950
0.900   0.63    0.40    2.27E-22   4440
1.22    0.58    0.29    1.41E-22   3170
1.63    0.51    0.21    8.99E-23   2310
2.20    0.43    0.13    5.45E-23   1640
3.45    0.28    0.005   2.37E-23   906
3.60    0.26    -0.004  2.18E-23   853
4.50    0.18    -0.037  1.42E-23   617
4.80    0.16    -0.043  1.26E-23   563
5.80    0.099   -0.052  9.39E-24   449
8.00    0.016   -0.050  1.42E-23   739
9.70    0.0031  -0.036  4.04E-23   2140
10.6    0.0029  -0.032  3.09E-23   1630
12.0    0.0030  -0.029  1.78E-23   940
21.0    0.0005  -0.024  1.20E-23   638
25.0    0.0003  -0.024  8.55E-24   454
60.0    0.0001  0.000   1.76E-24   93.4
