031117_eating2.jpg         | list | week 26                | brunch baby                              
031117_eating.jpg          | list | week 26                | bulls eye                                
031115_lenscap.jpg         | list | week 26                | lens cap                                 
031115_frog.jpg            | list | week 26                | frog legs                                
031108_eating.jpg          | list | week 25                | a solid performance                      
031108_booster.jpg         | list | week 25                | booster baby                             
031107_crib2.jpg           | list | week 24                | jailbreak                                
031107_crib.jpg            | list | week 24                | the littlest inmate                      
031102_sit4.jpg            | list | week 24                | lamb's ear                               
031102_sit3.jpg            | list | week 24                | little miss piggy                        
031102_sit2.jpg            | list | week 24                | look who's sitting                       
031102_sit1.jpg            | list | week 24                | tags for tots                            
031031_puppy.jpg           | list | week 23                | emma dawg                                
031028_bouncer.jpg         | list | week 23                | snug as a bug                            
031027_maxsally.jpg        | list | week 23                | long weekend                             
031025_hat.jpg             | list | week 23                | party girl                               
031017_book2.jpg           | list | week 21                | bookworm                                 
031017_book.jpg            | list | week 21                | sound it out                             
031007_bunny.jpg           | list | week 20                | bedtime bunny                            
031006_toe.jpg             | list | week 20                | limber lass                              
031005_laura.jpg           | list | week 20                | sunday snooze                            
031003_shirt.jpg           | list | week 19                | plaiditude                               
031003_pants.jpg           | list | week 19                | one table tall                           
031003_laundry.jpg         | list | week 19                | unfolding laundry                        
031001_toes.jpg            | list | week 19                | toeing the line                          
030923_bouncer.jpg         | list | week 18                | raindrops on roses                       
030922_laura.jpg           | list | week 18                | mirror, mirror, on the wall              
030922_asleep.jpg          | list | week 18                | peace                                    
030921_overalls2.jpg       | list | week 18                | farmer john                              
030921_overalls.jpg        | list | week 18                | osh kosh kid                             
030919_tummy2.jpg          | list | week 17                | free bird                                
030919_tummy1.jpg          | list | week 17                | zero wheel drive                         
030916_thumbsuck.jpg       | list | week 17                | essence of thumb                         
030916_crib.jpg            | list | week 17                | blankets are for babies                  
030916_closeup.jpg         | list | week 17                | giggly                                   
030916_asleep.jpg          | list | week 17                | perchance to dream                       
030915_asleep.jpg          | list | week 17                | sleeping in style                        
030914_carrier.jpg         | list | week 17                | stick 'em up                             
030912_bouncer.jpg         | list | week 17                | peekaboo                                 
030908_smile.jpg           | list | week 16                | pleased as punch                         
030908_serious.jpg         | list | week 16                | serious side                             
030908_kaia.jpg            | list | week 16                | lounge lizards                           
030908_elephant.jpg        | list | week 16                | elephant dance                           
030903_ducktowel2.jpg      | list | week 15                | all ducked out                           
030903_ducktowel1.jpg      | list | week 15                | duckling                                 
030901_asleep.jpg          | list | camping trip           | tucked in                                
030831_sleeper.jpg         | list | camping trip           | one piece suit                           
030831_laura.jpg           | list | camping trip           | early birds                              
030831_closeup2.jpg        | list | camping trip           | bundled baby                             
030831_closeup1.jpg        | main | camping trip           | bright eyes                              
030831_amy.jpg             | list | camping trip           | bedouin baby                             
030830_carrier.jpg         | list | camping trip           | down with ducky                          
030830_andy.jpg            | list | camping trip           | so this is camping                       
030829_greats.jpg          | list | week 14                | great grandpa cuts in                    
030829_bill.jpg            | list | week 14                | great grandpa's lap                      
030828_greats.jpg          | list | week 14                | the greats                               
030827_bath.jpg            | list | week 14                | bath gnome                               
030826_winnie.jpg          | list | week 14                | winnie the food                          
030824_dress.jpg           | list | week 14                | 3 months old                             
030823_closeup.jpg         | list | week 14                | my precious                              
030814_max.jpg             | list | Granddad visits        | in good hands                            
030813_max3.jpg            | list | Granddad visits        | grand dreams                             
030813_max1.jpg            | list | Granddad visits        | beached                                  
030808_amy.jpg             | list | week 11                | lounging with Mom                        
030805_face.jpg            | list | week 11                | casper                                   
030802_smile.jpg           | list | week 11                | smile for the camera                     
030727_amy.jpg             | list | week 10                | birds of a feather                       
030724_thumb.jpg           | list | week 9                 | hello Thumb                              
030724_pillow.jpg          | list | week 9                 | Emma's Everest                           
030721_asleep.jpg          | list | week 9                 | bed bugs                                 
030720_sally.jpg           | list | week 9                 | someone's in the kitchen with Nana       
030720_laura.jpg           | list | week 9                 | parting hug                              
030719_max.jpg             | list | week 9                 | Papa visits                              
030718_sally.jpg           | list | week 8                 | Nana visits                              
030717_nursing.jpg         | list | week 8                 | early bird                               
030717_amy.jpg             | list | week 8                 | morning mommy                            
030715_laura.jpg           | list | week 8                 | Auntie Laura visits                      
